,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,A - Agropecuária,201.64,25.2,457.35,21.77,15.73,2.26,2.56
1,Trigo e centeio,89.43,11.17,145.65,6.93,61.16,1.0,0.81
2,Látex e outras gomas,20.22,2.52,30.19,1.43,75.79,0.22,0.16
3,"Pescado inteiro vivo, morto ou refrigerado",19.15,2.39,49.85,2.37,0.87,0.21,0.27
4,Frutas e nozes,13.86,1.73,35.15,1.67,3.55,0.15,0.19
5,"Milho não moído, exceto milho doce",13.42,1.67,31.45,1.49,12.0,0.15,0.17
6,Demais produtos,45.54,5.69,165.03,7.85,-27.56,0.51,0.92
