,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,B - Indústria Extrativa,711.65,88.95,955.22,45.48,95.56,7.98,5.35
1,Carvão,417.38,52.17,175.96,8.37,522.64,4.68,0.98
2,Óleos brutos de petróleo,170.71,21.33,318.44,15.16,40.72,1.91,1.78
3,"Gás natural, liquefeito ou não",39.68,4.96,344.0,16.38,-69.71,0.44,1.92
4,Outros minérios,37.95,4.74,50.48,2.4,97.34,0.42,0.28
5,Minérios de cobre e seus concentrados,18.1,2.26,26.25,1.25,80.99,0.2,0.14
6,Demais produtos,27.8,3.47,40.07,1.9,82.12,0.31,0.22
