,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,A - Agropecuária,2510.12,313.76,5985.62,285.02,10.08,20.2,21.18
1,Soja,1922.12,240.26,5173.98,246.38,-2.48,15.47,18.3
2,Café não torrado,317.5,39.68,408.31,19.44,104.12,2.55,1.44
3,"Milho não moído, exceto milho doce",98.1,12.26,22.02,1.04,1069.42,0.78,0.07
4,Algodão em bruto,70.19,8.77,176.45,8.4,4.43,0.56,0.62
5,Frutas e nozes,25.49,3.18,79.84,3.8,-16.17,0.2,0.28
6,Demais produtos,76.69,9.58,125.0,5.95,61.04,0.61,0.44
