,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,B - Indústria Extrativa,2902.92,362.86,9429.89,449.04,-19.19,23.36,33.37
1,Óleos brutos de petróleo,1516.88,189.61,3743.88,178.28,6.35,12.21,13.24
2,Minério de ferro e seus concentrados,1246.03,155.75,5267.29,250.82,-37.9,10.03,18.64
3,Minérios de cobre e seus concentrados,91.6,11.45,298.13,14.19,-19.34,0.73,1.05
4,Outros minerais em bruto,27.61,3.45,42.91,2.04,68.93,0.22,0.15
5,"Pedra, areia e cascalho",10.52,1.31,24.41,1.16,13.1,0.08,0.08
6,Demais produtos,10.26,1.28,53.24,2.53,-49.41,0.08,0.18
